# target_ts actual_ts kp ki kd expected_dac_out verilog_dac_out
6250 6252 850 15 200 -4 -4
6250 6268 850 15 200 -21 -21
6250 6279 850 15 200 -31 -31
6250 6299 850 15 200 -49 -49
6250 6312 850 15 200 -60 -60
6250 6323 850 15 200 -71 -71
6250 6338 850 15 200 -86 -86
6250 6351 850 15 200 -98 -98
6250 6364 850 15 200 -111 -111
6250 6374 850 15 200 -120 -120
6250 6379 850 15 200 -126 -126
6250 6390 850 15 200 -140 -140
6250 6395 850 15 200 -145 -145
6250 6398 850 15 200 -150 -150
6250 6402 850 15 200 -157 -157
6250 6399 850 15 200 -156 -156
6250 6400 850 15 200 -161 -161
6250 6400 850 15 200 -163 -163
6250 6395 850 15 200 -162 -162
6250 6390 850 15 200 -161 -161
6250 6382 850 15 200 -155 -155
6250 6371 850 15 200 -147 -147
6250 6365 850 15 200 -145 -145
6250 6354 850 15 200 -137 -137
6250 6341 850 15 200 -128 -128
6250 6328 850 15 200 -119 -119
6250 6314 850 15 200 -109 -109
6250 6297 850 15 200 -95 -95
6250 6284 850 15 200 -86 -86
6250 6266 850 15 200 -71 -71
6250 6253 850 15 200 -62 -62
6250 6234 850 15 200 -45 -45
6250 6220 850 15 200 -35 -35
6250 6204 850 15 200 -20 -20
6250 6189 850 15 200 -9 -9
6250 6179 850 15 200 -1 -1
6250 6165 850 15 200 13 13
6250 6151 850 15 200 26 26
6250 6143 850 15 200 32 32
6250 6129 850 15 200 46 46
6250 6123 850 15 200 51 51
6250 6115 850 15 200 59 59
6250 6111 850 15 200 63 63
6250 6107 850 15 200 68 68
6250 6102 850 15 200 74 74
6250 6103 850 15 200 75 75
6250 6104 850 15 200 76 76
6250 6107 850 15 200 75 75
6250 6112 850 15 200 73 73
6250 6117 850 15 200 70 70
6250 6122 850 15 200 67 67
6250 6133 850 15 200 57 57
6250 6143 850 15 200 50 50
6250 6151 850 15 200 45 45
6250 6163 850 15 200 35 35
6250 6179 850 15 200 21 21
6250 6195 850 15 200 8 8
6250 6206 850 15 200 0 0
6250 6223 850 15 200 -15 -15
6250 6237 850 15 200 -26 -26
6250 6255 850 15 200 -43 -43
6250 6269 850 15 200 -54 -54
6250 6285 850 15 200 -70 -70
6250 6302 850 15 200 -85 -85
6250 6317 850 15 200 -97 -97
6250 6331 850 15 200 -111 -111
6250 6343 850 15 200 -123 -123
6250 6353 850 15 200 -132 -132
6250 6364 850 15 200 -144 -144
6250 6375 850 15 200 -155 -155
6250 6387 850 15 200 -168 -168
6250 6391 850 15 200 -173 -173
6250 6399 850 15 200 -183 -183
6250 6401 850 15 200 -187 -187
6250 6406 850 15 200 -194 -194
6250 6404 850 15 200 -194 -194
6250 6402 850 15 200 -196 -196
6250 6401 850 15 200 -198 -198
6250 6399 850 15 200 -199 -199
6250 6392 850 15 200 -195 -195
6250 6384 850 15 200 -191 -191
6250 6379 850 15 200 -190 -190
6250 6367 850 15 200 -180 -180
6250 6356 850 15 200 -172 -172
6250 6346 850 15 200 -167 -167
6250 6330 850 15 200 -154 -154
6250 6318 850 15 200 -146 -146
6250 6303 850 15 200 -134 -134
6250 6286 850 15 200 -120 -120
6250 6272 850 15 200 -111 -111
6250 6254 850 15 200 -96 -96
6250 6238 850 15 200 -83 -83
6250 6225 850 15 200 -73 -73
6250 6211 850 15 200 -61 -61
6250 6197 850 15 200 -50 -50
6250 6179 850 15 200 -33 -33
6250 6168 850 15 200 -23 -23
6250 6156 850 15 200 -12 -12
6250 6143 850 15 200 -1 -1
6250 6134 850 15 200 7 7
6250 6125 850 15 200 15 15
6250 6121 850 15 200 19 19
6250 6113 850 15 200 28 28
6250 6110 850 15 200 32 32
6250 6106 850 15 200 37 37
6250 6108 850 15 200 36 36
6250 6107 850 15 200 40 40
6250 6111 850 15 200 38 38
6250 6116 850 15 200 35 35
6250 6121 850 15 200 32 32
6250 6127 850 15 200 27 27
6250 6134 850 15 200 22 22
6250 6145 850 15 200 13 13
6250 6159 850 15 200 2 2
6250 6167 850 15 200 -3 -3
6250 6185 850 15 200 -20 -20
6250 6197 850 15 200 -29 -29
6250 6213 850 15 200 -43 -43
6250 6225 850 15 200 -52 -52
6250 6242 850 15 200 -67 -67
6250 6256 850 15 200 -78 -78
6250 6276 850 15 200 -97 -97
6250 6287 850 15 200 -106 -106
6250 6306 850 15 200 -124 -124
6250 6321 850 15 200 -137 -137
6250 6335 850 15 200 -151 -151
6250 6345 850 15 200 -160 -160
6250 6358 850 15 200 -174 -174
6250 6369 850 15 200 -185 -185
6250 6382 850 15 200 -198 -198
6250 6389 850 15 200 -206 -206
6250 6398 850 15 200 -216 -216
6250 6399 850 15 200 -219 -219
6250 6405 850 15 200 -228 -228
6250 6406 850 15 200 -231 -231
6250 6407 850 15 200 -235 -235
6250 6410 850 15 200 -240 -240
6250 6406 850 15 200 -239 -239
6250 6402 850 15 200 -239 -239
6250 6394 850 15 200 -234 -234
6250 6391 850 15 200 -236 -236
6250 6382 850 15 200 -229 -229
6250 6370 850 15 200 -220 -220
6250 6360 850 15 200 -215 -215
6250 6348 850 15 200 -206 -206
6250 6333 850 15 200 -195 -195
6250 6320 850 15 200 -187 -187
6250 6304 850 15 200 -173 -173
6250 6289 850 15 200 -163 -163
6250 6275 850 15 200 -152 -152
6250 6260 850 15 200 -141 -141
6250 6242 850 15 200 -125 -125
6250 6231 850 15 200 -117 -117
6250 6216 850 15 200 -104 -104
6250 6199 850 15 200 -89 -89
6250 6185 850 15 200 -79 -79
6250 6171 850 15 200 -66 -66
6250 6162 850 15 200 -58 -58
6250 6148 850 15 200 -45 -45
6250 6137 850 15 200 -35 -35
6250 6132 850 15 200 -32 -32
6250 6123 850 15 200 -22 -22
6250 6117 850 15 200 -16 -16
6250 6114 850 15 200 -14 -14
6250 6110 850 15 200 -8 -8
6250 6109 850 15 200 -5 -5
6250 6114 850 15 200 -10 -10
6250 6116 850 15 200 -10 -10
6250 6119 850 15 200 -12 -12
6250 6122 850 15 200 -13 -13
6250 6130 850 15 200 -20 -20
6250 6139 850 15 200 -26 -26
6250 6152 850 15 200 -37 -37
6250 6159 850 15 200 -41 -41
6250 6171 850 15 200 -51 -51
6250 6185 850 15 200 -63 -63
6250 6202 850 15 200 -78 -78
6250 6216 850 15 200 -88 -88
6250 6232 850 15 200 -103 -103
6250 6246 850 15 200 -113 -113
6250 6262 850 15 200 -128 -128
6250 6277 850 15 200 -141 -141
6250 6294 850 15 200 -157 -157
6250 6307 850 15 200 -168 -168
6250 6324 850 15 200 -185 -185
6250 6335 850 15 200 -195 -195
6250 6350 850 15 200 -210 -210
6250 6364 850 15 200 -223 -223
6250 6375 850 15 200 -234 -234
6250 6382 850 15 200 -241 -241
6250 6395 850 15 200 -256 -256
6250 6401 850 15 200 -263 -263
6250 6405 850 15 200 -268 -268
